"            <div class=""geolocation"" data-lat=""-37.818486502251"" data-lng=""145.17626613378""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Maroondah Highway at the intersection of Maroondah Highway and Springvale Road, Nunawading","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.857985757118"" data-lng=""144.98067140579""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Fitzroy Street at the intersection of Fitzroy Street and Princes Street, St Kilda","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.806009774827"" data-lng=""144.95583683252""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Peel Street at the intersection of Peel Street and Victoria Street, West Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.802595683318"" data-lng=""145.19797325134""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    EastLink, Melba Tunnel, approximately 500m prior to tunnel exit, Donvale ","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.634749804179"" data-lng=""144.99345481396""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hume Freeway, Southbound 60m south of O&#039;Herns Road, Epping","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-38.161811"" data-lng=""144.354006""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Moorabool Street and Fyans Street, South Geelong","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.996825"" data-lng=""145.312598""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Narre Warren North Road and Ernst Wanke Road, Narre Warren","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.819353098784"" data-lng=""144.80925679207""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Western Ring Road, Northbound Boundary Road South Side Gantry, Laverton North","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.824971957071"" data-lng=""144.97004985809""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    CityLink, Burnley Tunnel approximately 430 metres after tunnel entrance, Southbank","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.82524314303"" data-lng=""144.9885892868""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    CityLink, Burnley Tunnel approximately 2140 metres after tunnel entrance, Cremorne","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-38.082085732242"" data-lng=""145.27642786503""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    South Gippsland Highway at the intersection of South Gippsland Highway and Thompsons Road, Cranbourne North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.781542871524"" data-lng=""144.86559525132""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Ballarat Road at the intersection of Ballarat Road and Ashley Street, Maidstone","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.697552859475"" data-lng=""144.78109896183""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Kings Road at the intersection of Kings Road and Melton Highway, Taylors Lakes","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.730116"" data-lng=""144.923851""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Pascoe Vale Road and Peck Avenue, Strathmore","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.988582487657"" data-lng=""145.21820783615""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Foster Street at the intersection of Foster Street and McCrae Street, Dandenong","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.85696713827"" data-lng=""144.98267501593""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    St Kilda Road at the intersection of St Kilda Road and Fitzroy Street, St Kilda","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.813533570113"" data-lng=""145.02793461084""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Denmark Street at the intersection of Denmark Street and Barkers Road, Kew","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.992953982375"" data-lng=""145.21602451801""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Lonsdale Street at the intersection of Lonsdale Street and Webster Street, Dandenong","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.918799935405"" data-lng=""145.15861988068""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Springvale Road at the intersection of Springvale Road and Wellington Road, Mulgrave","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.782974843594"" data-lng=""144.86910492182""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Ballarat Road at the intersection of Ballarat Road and Churchill Avenue, Maidstone","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.808213697929"" data-lng=""144.97303381562""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Nicholson Street at the intersection of Nicholson Street and Victoria Parade, East Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.822743109722"" data-lng=""145.03528118133""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Glenferrie Road at the intersection of Glenferrie Road and Burwood Road, Hawthorn","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.643620551009"" data-lng=""144.92899999022""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Pascoe Vale Road at the intersection of Pascoe Vale Road and Reservoir Drive, Coolaroo","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.666042790945"" data-lng=""144.94254648685""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Barry Road at the intersection of Barry Road and King Street, Dallas","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.869411"" data-lng=""144.9993181""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hotham Street at the intersection of Hotham Street and Balaclava Road, St Kilda East","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.813797381722"" data-lng=""145.12471139431""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Station Street at the intersection of Station Street and Thames Street, Box Hill","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.810925"" data-lng=""145.237836""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Maroondah Highway and Mount Dandenong Road, Ringwood","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.811215"" data-lng=""145.237042""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Maroondah Highway and Ringwood Bypass, Ringwood","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.862464"" data-lng=""145.019342""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Kooyong Road at the intersection of Kooyong Road and Dandenong Road, Armadale","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.981868311557"" data-lng=""145.0711530447""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Nepean Highway at the intersection of Nepean Highway and Warrigal Road, Mentone","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.673054323224"" data-lng=""144.85222242772""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Terminal Drive at the intersection of Terminal Drive and Centre Road, Melbourne Airport","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.884622088321"" data-lng=""145.06732016802""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Princes Highway at the intersection of Princes Highway and Belgrave Road, Malvern East","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.828687965426"" data-lng=""145.12166976929""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Canterbury Road at the intersection of Canterbury Road and Station Street, Box Hill","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.869524179746"" data-lng=""145.02533823252""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hawthorn Road at the intersection of Hawthorn Road and Inkerman Road, Caulfield North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.8255482"" data-lng=""144.977088""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    CityLink, Domain Tunnel approximately 725m after tunnel entrance, Melbourne","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.8251414"" data-lng=""144.9711657""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    CityLink, Domain Tunnel, Southbank, approximately 1195 after tunnel entrance, Melbourne","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.820415672091"" data-lng=""145.09818837047""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Mont Albert Road at the intersection of Mont Albert Road and Union Road, Surrey Hills","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-36.763504176378"" data-lng=""144.27031517029""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    High Street at the intersection of High Street and Don Street, Bendigo","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.923947856003"" data-lng=""145.08230835199""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Centre Road at the intersection of Centre Road and Warrigal Road, Bentleigh East","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.584484199632"" data-lng=""144.94441330433""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hume Freeway, Southbound 65m south of Amaroo Road, Craigieburn","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-36.654007405095"" data-lng=""144.40448999405""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Midland Highway, Eastbound at Bagshot level crossing 40m west of Peatlings Road, Bagshot","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-36.653947154227"" data-lng=""144.40424859524""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Midland Highway, Westbound at Bagshot level crossing 40m west of Peatlings Road, Bagshot","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.810195053414"" data-lng=""144.96135950089""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Elizabeth Street at the intersection of Elizabeth Street and La Trobe Street, Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.196798560514"" data-lng=""144.31883364916""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Princes Highway at the intersection of Princes Highway and Pioneer Road, Grovedale","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.555639429325"" data-lng=""143.81873846054""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Sturt Street at the intersection of Sturt Street and Gillies Street, Lake Gardens","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.8769551"" data-lng=""144.9980789""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Glen Eira Rd at the intersection of Glen Eira Road and Hotham Street, St Kilda East","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.786450254796"" data-lng=""144.86449554563""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Ashley Street at the intersection of Ashley Street and Churchill Avenue, Maidstone","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.861420580111"" data-lng=""144.99146997929""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Alma Road at the intersection of Alma Road and Chapel Street, St Kilda","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.8094025176"" data-lng=""144.97285276651""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Nicholson Street at the intersection of Nicholson Street and Albert Street, East Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.793332"" data-lng=""144.975433""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Nicholson Street at the intersection of Nicholson Street and Princes Street, Carlton","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.736109207444"" data-lng=""144.94899988174""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Sussex Street at the intersection of Sussex Street and O&#039;Hea Street, Pascoe Vale South","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.975064719366"" data-lng=""145.20343154669""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Princes Highway at the intersection of Princes Highway and Gladstone Road, Dandenong","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.857500803122"" data-lng=""144.99211102724""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Dandenong Road at the intersection of Dandenong Road and Chapel Street, St Kilda","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.667081027816"" data-lng=""144.95491415262""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Sydney Road at the intersection of Sydney Road and Barry Road, Campbellfield","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.726065"" data-lng=""144.862085""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Western Ring Road, Southbound, Fullarton Road Bridge, Keilor Park","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.80075188112"" data-lng=""145.0623768568""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Harp Road at the intersection of Harp Road and Burke Road, Kew East","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.899377203642"" data-lng=""145.23312225938""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Stud Road at the intersection of Stud Road and Ferntree Gully Road, Scoresby","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-36.140062502038"" data-lng=""144.75106358528""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Ogilvie Avenue at the intersection of Ogilvie Avenue and High Street, Echuca","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.967517237542"" data-lng=""145.07424965501""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Warrigal Road at the intersection of Warrigal Road and Centre Dandenong Road, Cheltenham","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.789033124559"" data-lng=""144.92284029722""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Epsom Road at the intersection of Epsom Road and Smithfield Road, Kensington","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.821584167249"" data-lng=""145.30439257622""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Canterbury Road at the intersection of Canterbury Road and Colchester Road, Kilsyth South","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.862776"" data-lng=""145.060078""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Monash Freeway, Northbound approximately 290m south of High Street, Glen Iris","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.745665624517"" data-lng=""145.00633612275""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Bell Street at the intersection of Bell Street and Plenty Road, Preston","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-36.759624"" data-lng=""144.317646""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of McIvor Road and Reservoir Road, Strathdale","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.838903905257"" data-lng=""145.27105137706""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Scoresby Road at the intersection of Scoresby Road and Mountain Highway, Bayswater","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.768013553239"" data-lng=""144.79892492294""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Western Ring Road, Southbound Western Highway North Side Gantry, Ardeer","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.850696"" data-lng=""145.021183""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Kooyong Road at the intersection of Kooyong Road and Malvern Road, Armadale","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.812988"" data-lng=""145.081179""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Balwyn Road at the intersection of Balwyn Road and Whitehorse Road, Balwyn","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.758461"" data-lng=""144.945006""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Melville Road at the intersection of Melville Road and Albion Street, Brunswick West ","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.853136"" data-lng=""145.095255""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Warrigal Road at the intersection of Warrigal Road and Highbury Road, Burwood","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.8458"" data-lng=""145.054325""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Toorak Road at the intersection of Toorak Road and Burke Road, Camberwell","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.879291"" data-lng=""145.01657""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Glen Eira Road at the intersection of Glen Eira Road and Kooyong Road, Caulfield North ","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.916178"" data-lng=""145.139705""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Wellington Road at the intersection of Wellington Road and Blackburn Road, Clayton","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.895404"" data-lng=""145.144018""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Blackburn Road at the intersection of Blackburn Road and Monash Freeway, Mount Waverley","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.871932"" data-lng=""145.148599""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Blackburn Road at the intersection of Blackburn Road and High Street, Mount Waverley","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-38.150047"" data-lng=""144.334557""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Shannon Avenue at the intersection of Shannon Avenue and Aphrasia Street, Newtown","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.783452"" data-lng=""145.017761""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Heidelberg Road at the intersection of Heidelberg Road and Station Street, Fairfield","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-38.130666"" data-lng=""144.338537""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Church Street at the intersection of Church Street and Shannon Avenue, Geelong West","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.886853"" data-lng=""145.146067""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Waverley Road at the intersection of Waverley Road and Blackburn Road, Glen Waverley","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.948766"" data-lng=""145.045999""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Nepean Highway at the intersection of Nepean Highway and Highett Road, Highett","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.80747"" data-lng=""145.035324""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Charles Street at the intersection of Charles Street and Cotham Road, Kew","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.810199"" data-lng=""145.037599""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Glenferrie Road at the intersection of Glenferrie Road and Wellington Street, Kew","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.826116"" data-lng=""145.099643""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Canterbury Road at the intersection of Canterbury Road and Warrigal Road, Surrey Hills","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.7450543"" data-lng=""144.9660762""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Harding Street at the intersection of Harding Street and Sydney Road, Coburg","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-38.1453839406"" data-lng=""145.11984184384""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Nepean Highway at the intersection of Nepean Highway and Davey Street, Frankston","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.810066"" data-lng=""144.99117""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hoddle Street at the intersection of Hoddle Street and Victoria Parade, East Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
